run_id,canonical,job_id,matched_alias,evidence_text,evidence_field,start_char,end_char,title,description_excerpt,source,country,expected_skills,false_positive,reviewer_notes
75,Data Engineering,609,ingénierie des données,ingénierie des données,description,264,286,Consultant Data et Bi H/F,"La ligne de service Consulting & Solutions d'Akkodis France renforce ses équipes en région Occitanie et recrute un Consultant Data et BI H/F en CDI à Toulouse. Cette opportunité s'inscrit dans le secteur automobile et aéronautique, avec une activité centrée sur l'ingénierie des données et l'optimisation des systèmes d'",adzuna,fr,,,
75,Data Engineering,629,ingénieur data,Ingénieur Data,title,0,14,Ingénieur Data H/F,"- Une réussite portée par notre excellence technologique, votre expérience et notre ambition partagée - Un package de rémunération attractif - Un développement des compétences en continu: parcours de formation, académies et communautés internes - Un environnement inclusif, bienveillant et respectant l'équilibre des col",adzuna,fr,,,
75,Data Engineering,691,ingénieur data,Ingénieur Data,title,0,14,Ingénieur Data Analyst confirmé F/H,"Le poste en quelques mots : Afin d’accompagner un de nos clients locaux dans le cadre de l’accélération de sa transformation Data, nous recherchons un Data Ingénieur / Data Analyste confirmé. Ce que nous allons faire ensemble : En tant que Data Scientist confirmé, vous aurez en charge de :· Concevoir et maintenir des p",adzuna,fr,,,
75,Data Engineering,719,ingénieur data,Ingénieur Data,title,0,14,Ingénieur Data - IA H/F,"Vos activités En tant qu'Ingénieur Data/IA, vous participerez à des projets innovants d'IA visant à optimiser la performance de nos outils autour de la relation client B2B. Vos principales missions seront en collaboration étroite avec l'équipe projet. Ingénierie de la donnée & automatisation - Concevoir et maintenir de",adzuna,fr,,,
75,Data Engineering,888,ingénieur data,Ingénieur Data,title,0,14,Ingénieur Data F/H,"Rejoignez les équipes de Valeo engagées pour réinventer la mobilité ! Valeo est un équipementier automobile, partenaire de tous les constructeurs dans le monde. Le Groupe propose des systèmes et équipements innovants au service de la voiture du futur – un véhicule intuitif et connecté, autonome, économe en énergie, acc",adzuna,fr,,,
75,Data Science,45,Data Science,Data Science,description,376,388,Lead Data Scientist,"Description Enter our world. Transform with us. Founded in 2003, BIP has gathered and enhanced the historical experience of consultancy and added two key ingredients: innovation and digitalization. Thanks to this path BIP is now over 6000 professionals, present in 13 countries, with over 4500 projects behind us and the",adzuna,fr,,,
75,Data Science,154,Data Science,data science,description,487,499,Actuaire Data Scientist H/F,"Dans un contexte d'accélération des usages data et d'innovation autour de la modélisation, il recherche au sein de l'équipe dédiée à la Gestion et à la valorisation des données Solvabilité 2 de la Direction « Actuariat, Solvabilité et Modèles » un Actuaire Data Scientist F/H Vous évoluez dans un environnement transvers",adzuna,fr,,,
75,Data Science,181,Data Science,data science,description,221,233,Développer Data Scientist SAP - Freelance,"Description du poste Taux journalier (TJM): 680 Mission longue chez un acteur majeur de l'énergie. Missions, Rôles et responsabilités Le poste couvrira notamment les sujets suivants : Concevoir et réaliser des travaux de data science senior orientés SAP S/4HANA et ECC6. Fiabiliser l’extraction et l’usage des données SA",adzuna,fr,,,
75,Data Science,283,Data Science,Data Science,description,182,194,Data Scientist IA / Machine Learning F/H,"Nous recherchons un(e) Data Scientist passionné(e) par la valorisation de la donnée, l'intelligence artificielle et les modèles prédictifs. Vous rejoindrez une équipe spécialisée en Data Science afin de concevoir et déployer des solutions innovantes permettant d'améliorer les processus métiers et la prise de décision g",adzuna,fr,,,
75,Data Science,298,Data Science,Data Science,description,25,37,Data Scientist – Machine Deep learning F/H,"Dans le cadre de projets Data Science menés par Davidson pour ses clients dans des secteurs variés (Gaming, Luxe, Télécoms, Finance, etc.), tu interviendras en tant que spécialiste ML & DL. Ta mission consistera à accompagner des experts métiers sur des problématiques variées : traitement du langage naturel, reconnaiss",adzuna,fr,,,
75,Data Science,605,Data Science,Data Science,description,431,443,Data Product analytics Senior - CDI,"Description du poste Salaire: 70K - 73k Dans le cadre du développement de son Analytics Factory, un grand groupe international de la distribution recherche un(e) Data Product Manager Senior pour piloter la stratégie analytique et IA sur les domaines Finance, RH et Référentiel . Vous rejoindrez une organisation Data en ",adzuna,fr,,,
